file_name,external_bill_number,reason,status
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051326,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051304,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051310,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051329,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051330,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051317,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051316,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051304,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051328,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051311,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051312,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051314,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051315,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051322,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051323,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051325,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051324,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051305,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051320,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051308,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051327,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051308,Duplicate bill number; 1 unmatched: ทองแดงช็อต,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051327,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051308,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051327,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051329,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051308,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051341,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051334,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051335,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051342,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051346,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051347,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051348,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051355,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051344,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051360,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051356,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051335,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051347,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051355,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051332,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051336,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051355,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051342,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051360,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051356,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051342,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051335,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051342,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051348,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051345,1 unmatched: ทองแดงช็อต,UNMATCHED
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051358,1 unmatched: ทองแดงช็อต,UNMATCHED
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051342,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051342,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051348,Duplicate bill number,DUPLICATE
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051337,1 unmatched: แสตนเลส 304 (ยาว),UNMATCHED
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051350,1 unmatched: แสตนเลส 304 (ยาว),UNMATCHED
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051343,"
Invalid `db.buyBill.create()` invocation in
/home/z/my-project/reconciliation/import-buy-direct.mjs:190:38

  187 const billNumber = `BUY-2569-${String(billSeq++).padStart(5, '0')}`
  188 
  189 // Create BuyBill (sequential, pgbouncer-safe)
→ 190 const created = await db.buyBill.create(
Unique constraint failed on the fields: (`externalBillNumber`)",DB_ERROR
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051362,"
Invalid `db.buyBill.create()` invocation in
/home/z/my-project/reconciliation/import-buy-direct.mjs:190:38

  187 const billNumber = `BUY-2569-${String(billSeq++).padStart(5, '0')}`
  188 
  189 // Create BuyBill (sequential, pgbouncer-safe)
→ 190 const created = await db.buyBill.create(
Unique constraint failed on the fields: (`externalBillNumber`)",DB_ERROR
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051337,"
Invalid `db.buyBill.create()` invocation in
/home/z/my-project/reconciliation/import-buy-direct.mjs:190:38

  187 const billNumber = `BUY-2569-${String(billSeq++).padStart(5, '0')}`
  188 
  189 // Create BuyBill (sequential, pgbouncer-safe)
→ 190 const created = await db.buyBill.create(
Unique constraint failed on the fields: (`externalBillNumber`)",DB_ERROR
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051337,"
Invalid `db.buyBill.create()` invocation in
/home/z/my-project/reconciliation/import-buy-direct.mjs:190:38

  187 const billNumber = `BUY-2569-${String(billSeq++).padStart(5, '0')}`
  188 
  189 // Create BuyBill (sequential, pgbouncer-safe)
→ 190 const created = await db.buyBill.create(
Unique constraint failed on the fields: (`externalBillNumber`)",DB_ERROR
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051358,"
Invalid `db.buyBill.create()` invocation in
/home/z/my-project/reconciliation/import-buy-direct.mjs:190:38

  187 const billNumber = `BUY-2569-${String(billSeq++).padStart(5, '0')}`
  188 
  189 // Create BuyBill (sequential, pgbouncer-safe)
→ 190 const created = await db.buyBill.create(
Unique constraint failed on the fields: (`externalBillNumber`)",DB_ERROR
ซื้อ 4-7-2569 แบบละเอียด.xls,A1051359,"
Invalid `db.buyBill.create()` invocation in
/home/z/my-project/reconciliation/import-buy-direct.mjs:190:38

  187 const billNumber = `BUY-2569-${String(billSeq++).padStart(5, '0')}`
  188 
  189 // Create BuyBill (sequential, pgbouncer-safe)
→ 190 const created = await db.buyBill.create(
Unique constraint failed on the fields: (`externalBillNumber`)",DB_ERROR
